 "s" , "o" ,
 "https://en-word.net/lemma/acid-loving#acid-loving-ewn-00026819-a" , "https://en-word.net/lemma/alkaline-loving#alkaline-loving-ewn-00027187-a" ,
 "https://en-word.net/lemma/flexion#flexion-ewn-00406181-n" , "https://en-word.net/lemma/extension#extension-ewn-00370340-n" ,
 "https://en-word.net/lemma/flexor#flexor-ewn-05304002-n" , "https://en-word.net/lemma/extensor#extensor-ewn-05302105-n" ,
 "https://en-word.net/lemma/unacknowledged#unacknowledged-ewn-00028785-a" , "https://en-word.net/lemma/acknowledged#acknowledged-ewn-00027360-a" ,
 "https://en-word.net/lemma/acknowledged#acknowledged-ewn-00027360-a" , "https://en-word.net/lemma/unacknowledged#unacknowledged-ewn-00028785-a" ,
 "https://en-word.net/lemma/nonspatial#nonspatial-ewn-02852307-a" , "https://en-word.net/lemma/spatial#spatial-ewn-02851951-a" ,
 "https://en-word.net/lemma/heavy#heavy-ewn-01192305-a" , "https://en-word.net/lemma/light#light-ewn-01193859-a" ,
 "https://en-word.net/lemma/unacquisitive#unacquisitive-ewn-00031646-a" , "https://en-word.net/lemma/acquisitive#acquisitive-ewn-00029456-a" ,
 "https://en-word.net/lemma/acquisitive#acquisitive-ewn-00029456-a" , "https://en-word.net/lemma/unacquisitive#unacquisitive-ewn-00031646-a" ,
 "https://en-word.net/lemma/refrain#refrain-ewn-02731589-v" , "https://en-word.net/lemma/act#act-ewn-02372362-v" ,
 "https://en-word.net/lemma/no_longer#no_longer-ewn-00031911-r" , "https://en-word.net/lemma/still#still-ewn-00031700-r" ,
 "https://en-word.net/lemma/still#still-ewn-00031700-r" , "https://en-word.net/lemma/no_longer#no_longer-ewn-00031911-r" ,
 "https://en-word.net/lemma/basipetal#basipetal-ewn-00031937-a" , "https://en-word.net/lemma/acropetal#acropetal-ewn-00031787-a" ,
 "https://en-word.net/lemma/acropetal#acropetal-ewn-00031787-a" , "https://en-word.net/lemma/basipetal#basipetal-ewn-00031937-a" ,
 "https://en-word.net/lemma/cry#cry-ewn-00065962-v" , "https://en-word.net/lemma/laugh#laugh-ewn-00031813-v" ,
 "https://en-word.net/lemma/laugh#laugh-ewn-00031813-v" , "https://en-word.net/lemma/cry#cry-ewn-00065962-v" ,
 "https://en-word.net/lemma/inactive#inactive-ewn-00033687-a" , "https://en-word.net/lemma/active#active-ewn-00032087-a" ,
 "https://en-word.net/lemma/inactiveness#inactiveness-ewn-04642988-n" , "https://en-word.net/lemma/activeness#activeness-ewn-04642461-n" ,
 "https://en-word.net/lemma/active#active-ewn-00032087-a" , "https://en-word.net/lemma/inactive#inactive-ewn-00033687-a" ,
 "https://en-word.net/lemma/excommunicate#excommunicate-ewn-01032430-v" , "https://en-word.net/lemma/communicate#communicate-ewn-01032711-v" ,
